	name	latitude	longitude	scores	category	price	address
11573	The Shelter(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.211828	121.4439	35.0	酒吧	87.0	徐汇区永福路5号
12384	British Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.244358	121.48988	30.0	酒吧	150.0	虹口区北苏州路20号上海大厦1楼
12649	Ci5 Cafe & Champagne Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.205029	121.43991	40.0	酒吧	104.0	徐汇区淮海中路1797号
12743	翡翠36酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.235716	121.49911	45.0	酒吧	129.0	浦东新区富城路33号香格里拉大酒店紫金楼36楼
13104	海獭酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.20813	121.45178	30.0	酒吧	52.0	徐汇区岳阳路28号
13241	Ladyrose Bar(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.269066	121.60701	35.0	酒吧	40.0	浦东新区张桥佳林路84号
13378	House of Blues & Jazz(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.235458	121.489204	40.0	酒吧	185.0	黄浦区福州路60号
13806	非常时髦酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.24541	121.49345	40.0	酒吧	154.0	虹口区黄浦路199号上海外滩茂悦大酒店西楼32楼
14196	The Park Tavern(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.196947	121.44059	35.0	酒吧	96.0	徐汇区衡山路840号
14234	蓝堡啤酒屋(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.22711	121.51495	40.0	酒吧	97.0	浦东新区浦东南路1138号上海湾广场118室
15146	酒池星座 Constellation(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.217682	121.455124	45.0	酒吧	109.0	徐汇区新乐路86号
15447	高歌酒吧(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.23243	121.4018	30.0	酒吧	165.0	普陀区金沙江路588号2楼
15539	蓝毗尼(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...)	31.207897	121.46901	35.0	酒吧	74.0	卢湾区泰康路248弄田子坊12号
